request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_71,0,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: IDR 0.
request_72,11290.15,affordable_with_plan,full_payment,2026-07-05:11330,,stop:event_6656,full_payment: completes ZAR 11330 by 2026-07-05; total paid ZAR 11330. Projected 90-day minimum ZAR 12294.35 versus protected 12200. Safe today before changes: ZAR 11290.15. Requires the listed permitted recurring-spending changes.
request_73,66827.65,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 66827.65.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,full_payment: completes ZAR 5010 by 2025-08-04; total paid ZAR 5010. Projected 90-day minimum ZAR 48877.84 versus protected 21900. Safe today before changes: ZAR 5010.
request_75,8326.51,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: ZAR 8326.51.
request_76,610.46,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: USD 610.46.
request_77,58518.3,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 58518.3.
request_78,41900.98,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 41900.98.
request_79,184.38,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: EUR 184.38.
request_80,108038.26,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 108038.26.
request_81,2025.67,affordable_with_plan,full_payment,2026-07-03:2076,,reduce_to:event_7624:78.43,full_payment: completes USD 2076 by 2026-07-03; total paid USD 2076. Projected 90-day minimum USD 1600.01 versus protected 1600. Safe today before changes: USD 2025.67. Requires the listed permitted recurring-spending changes.
request_82,253.25,affordable_later,wait,2025-02-15:1405.2,2025-02-15,none,wait: completes USD 1405.2 by 2025-02-15; total paid USD 1405.2. Projected 90-day minimum USD 1353.25 versus protected 1100. Safe today before changes: USD 253.25.
request_83,5950.35,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 5950.35.
request_84,19733.9,affordable_later,wait,2026-06-15:95400,2026-06-15,none,wait: completes INR 95400 by 2026-06-15; total paid INR 95400. Projected 90-day minimum INR 93757.48 versus protected 91300. Safe today before changes: INR 19733.9.
request_85,278915.89,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: IDR 278915.89.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,full_payment: completes INR 46300 by 2025-08-03; total paid INR 46300. Projected 90-day minimum INR 86001.03 versus protected 84900. Safe today before changes: INR 46300.
request_87,6621.46,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 6621.46.
request_88,10497.62,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,installments: completes ZAR 26092 by 2024-08-15; total paid ZAR 27135.69. Projected 90-day minimum ZAR 27252.39 versus protected 25800. Safe today before changes: ZAR 10497.62.
request_89,9047662.12,not_affordable,not_recommended,none,2026-01-15,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: IDR 9047662.12.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,full_payment: completes ZAR 2560 by 2026-07-06; total paid ZAR 2560. Projected 90-day minimum ZAR 17108.87 versus protected 7600. Safe today before changes: ZAR 2560.
request_91,234.74,affordable_later,wait,2024-11-15:1927.2,2024-11-15,none,wait: completes EUR 1927.2 by 2024-11-15; total paid EUR 1927.2. Projected 90-day minimum EUR 2334.74 versus protected 2100. Safe today before changes: EUR 234.74.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,full_payment: completes ZAR 34034 by 2025-02-05; total paid ZAR 34034. Projected 90-day minimum ZAR 29521 versus protected 28100. Safe today before changes: ZAR 34034.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,full_payment: completes USD 1729.2 by 2026-04-07; total paid USD 1729.2. Projected 90-day minimum USD 1982.33 versus protected 1900. Safe today before changes: USD 1729.2.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,full_payment: completes EUR 572 by 2024-12-04; total paid EUR 572. Projected 90-day minimum EUR 964.31 versus protected 600. Safe today before changes: EUR 572.
request_95,0,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 0.
request_96,72366.61,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,reduce_to:event_8968:2795.95,installments: completes INR 90200 by 2026-03-11; total paid INR 93807.99. Projected 90-day minimum INR 56500.03 versus protected 56500. Safe today before changes: INR 72366.61. Requires the listed permitted recurring-spending changes.
request_97,1205.18,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-05-15,none,installments: completes ZAR 23496 by 2024-05-20; total paid ZAR 24435.84. Projected 90-day minimum ZAR 30905.18 versus protected 29700. Safe today before changes: ZAR 1205.18.
request_98,5445.05,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: ZAR 5445.05.
request_99,16197.16,affordable_with_plan,full_payment,2026-07-04:18062,,reduce_to:event_9220:1567.53|stop:event_9164,full_payment: completes ZAR 18062 by 2026-07-04; total paid ZAR 18062. Projected 90-day minimum ZAR 49100 versus protected 49100. Safe today before changes: ZAR 16197.16. Requires the listed permitted recurring-spending changes.
request_100,24860.09,not_affordable,not_recommended,none,2024-08-15,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: ZAR 24860.09.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,full_payment: completes INR 143500 by 2025-11-03; total paid INR 143500. Projected 90-day minimum INR 191700.41 versus protected 187400. Safe today before changes: INR 143500.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,installments: completes EUR 1716 by 2026-06-04; total paid EUR 1784.64. Projected 90-day minimum EUR 1844.58 versus protected 900. Safe today before changes: EUR 1716.
request_103,477.51,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 477.51.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,full_payment: completes ZAR 17204 by 2025-02-04; total paid ZAR 17204. Projected 90-day minimum ZAR 28993.07 versus protected 24700. Safe today before changes: ZAR 17204.
request_105,48795.51,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 48795.51.
request_106,438.72,affordable_later,wait,2025-02-15:2207.7,2025-02-15,none,wait: completes EUR 2207.7 by 2025-02-15; total paid EUR 2207.7. Projected 90-day minimum EUR 1638.72 versus protected 1200. Safe today before changes: EUR 438.72.
request_107,2088.14,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: EUR 2088.14.
request_108,1405.38,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: ZAR 1405.38.
request_109,426.81,not_affordable,not_recommended,none,2024-05-15,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: EUR 426.81.
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,installments: completes ZAR 22352 by 2025-10-01; total paid ZAR 23246.07. Projected 90-day minimum ZAR 21049.33 versus protected 11200. Safe today before changes: ZAR 22352.
request_111,14314834.85,affordable_with_plan,full_payment,2026-04-03:16625000,,stop:event_10240|reduce_to:event_10294:362189.84,full_payment: completes IDR 16625000 by 2026-04-03; total paid IDR 16625000. Projected 90-day minimum IDR 23022800.01 versus protected 23022800. Safe today before changes: IDR 14314834.85. Requires the listed permitted recurring-spending changes.
request_112,208.54,affordable_with_plan,full_payment,2024-06-05:271.7,,reduce_to:event_10388:18.81,full_payment: completes EUR 271.7 by 2024-06-05; total paid EUR 271.7. Projected 90-day minimum EUR 500.01 versus protected 500. Safe today before changes: EUR 208.54. Requires the listed permitted recurring-spending changes.
request_113,15633.68,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 15633.68.
request_114,49061.95,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 49061.95.
request_115,14426.44,affordable_later,wait,2024-11-15:80500,2024-11-15,none,wait: completes INR 80500 by 2024-11-15; total paid INR 80500. Projected 90-day minimum INR 53226.44 versus protected 38800. Safe today before changes: INR 14426.44.
request_116,1840.92,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 1840.92.
request_117,835.82,affordable_with_plan,full_payment,2026-07-05:880,,reduce_to:event_10866:23.93|stop:event_10809,full_payment: completes EUR 880 by 2026-07-05; total paid EUR 880. Projected 90-day minimum EUR 1000 versus protected 1000. Safe today before changes: EUR 835.82. Requires the listed permitted recurring-spending changes.
request_118,632.5,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,installments: completes EUR 738.1 by 2025-02-07; total paid EUR 767.61. Projected 90-day minimum EUR 821.91 versus protected 600. Safe today before changes: EUR 632.5.
request_119,56600.98,not_affordable,not_recommended,none,2025-07-15,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 56600.98.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,full_payment: completes IDR 7714000 by 2026-04-06; total paid IDR 7714000. Projected 90-day minimum IDR 20665694.06 versus protected 20050300. Safe today before changes: IDR 7714000.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,full_payment: completes USD 633.6 by 2024-03-03; total paid USD 633.6. Projected 90-day minimum USD 848.03 versus protected 800. Safe today before changes: USD 633.6.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,installments: completes IDR 20558000 by 2025-09-30; total paid IDR 21380319.99. Projected 90-day minimum IDR 26983292.43 versus protected 12588500. Safe today before changes: IDR 20558000.
request_123,0,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: IDR 0.
request_124,1352.75,not_affordable,not_recommended,none,2024-08-15,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: EUR 1352.75.
request_125,5364.32,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: ZAR 5364.32.
request_126,156227.83,affordable_with_plan,full_payment,2026-07-03:159600,,reduce_to:event_11610:3168.37,full_payment: completes INR 159600 by 2026-07-03; total paid INR 159600. Projected 90-day minimum INR 129700.01 versus protected 129700. Safe today before changes: INR 156227.83. Requires the listed permitted recurring-spending changes.
request_127,5412.71,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: ZAR 5412.71.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,full_payment: completes ZAR 25168 by 2025-02-07; total paid ZAR 25168. Projected 90-day minimum ZAR 42747.93 versus protected 42600. Safe today before changes: ZAR 25168.
request_129,102.49,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: USD 102.49.
request_130,356.12,affordable_later,wait,2025-02-15:1978.8,2025-02-15,none,wait: completes USD 1978.8 by 2025-02-15; total paid USD 1978.8. Projected 90-day minimum USD 1702.31 versus protected 1400. Safe today before changes: USD 356.12.
request_131,0,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: USD 0.
request_132,221.85,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: USD 221.85.
request_133,0,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: IDR 0.
request_134,3774424.4,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,wait: completes IDR 21831000 by 2025-10-15; total paid IDR 21831000. Projected 90-day minimum IDR 19676924.4 versus protected 15902500. Safe today before changes: IDR 3774424.4.
request_135,257.59,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: USD 257.59.
request_136,481.14,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: USD 481.14.
request_137,9660.61,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 9660.61.
request_138,708.77,affordable_with_plan,partial_payment,2026-04-07:708.77|2026-04-15:548.17,2026-04-15,none,partial_payment: completes EUR 1256.94 by 2026-04-15; total paid EUR 1256.94. Projected 90-day minimum EUR 2300 versus protected 2300. Safe today before changes: EUR 708.77.
request_139,1236.14,not_affordable,not_recommended,none,2024-11-15,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: USD 1236.14.
request_140,1182.68,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: ZAR 1182.68.
request_141,16060.5,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 16060.5.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,full_payment: completes USD 1263.6 by 2024-12-05; total paid USD 1263.6. Projected 90-day minimum USD 2943.56 versus protected 1700. Safe today before changes: USD 1263.6.
request_143,2285.35,affordable_later,wait,2025-07-15:12584,2025-07-15,none,wait: completes ZAR 12584 by 2025-07-15; total paid ZAR 12584. Projected 90-day minimum ZAR 11387.35 versus protected 11300. Safe today before changes: ZAR 2285.35.
request_144,161.12,affordable_with_plan,full_payment,2026-07-04:233.34,,stop:event_13214|reduce_to:event_13294:24.8,full_payment: completes USD 233.34 by 2026-07-04; total paid USD 233.34. Projected 90-day minimum USD 600.02 versus protected 600. Safe today before changes: USD 161.12. Requires the listed permitted recurring-spending changes.
request_145,18610.68,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,none,installments: completes INR 217400 by 2024-05-21; total paid INR 226095.99. Projected 90-day minimum INR 174010.68 versus protected 155400. Safe today before changes: INR 18610.68.
request_146,12368.02,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 12368.02.
request_147,450.01,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,installments: completes EUR 1129.7 by 2026-06-07; total paid EUR 1174.89. Projected 90-day minimum EUR 945.63 versus protected 900. Safe today before changes: EUR 450.01.
request_148,6771.79,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-08-15,stop:event_13564|stop:event_13565,installments: completes ZAR 22242 by 2024-08-15; total paid ZAR 23131.68. Projected 90-day minimum ZAR 20287.73 versus protected 20000. Safe today before changes: ZAR 6771.79. Requires the listed permitted recurring-spending changes.
request_149,21422.44,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2026-01-15,stop:event_13670|reduce_to:event_13671:1039.95,installments: completes ZAR 36652 by 2026-01-13; total paid ZAR 38118.09. Projected 90-day minimum ZAR 42100 versus protected 42100. Safe today before changes: ZAR 21422.44. Requires the listed permitted recurring-spending changes.
request_150,235.54,not_affordable,not_recommended,none,2026-03-15,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: EUR 235.54.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,full_payment: completes IDR 26999000 by 2024-09-03; total paid IDR 26999000. Projected 90-day minimum IDR 31640595.25 versus protected 31633600. Safe today before changes: IDR 26999000.
request_152,10762.87,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: ZAR 10762.87.
request_153,0,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: USD 0.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,installments: completes EUR 1625.8 by 2025-02-04; total paid EUR 1690.83. Projected 90-day minimum EUR 2227.67 versus protected 1300. Safe today before changes: EUR 1625.8.
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,full_payment: completes INR 112500 by 2025-05-06; total paid INR 112500. Projected 90-day minimum INR 75929.95 versus protected 56300. Safe today before changes: INR 112500.
request_156,8311.95,affordable_later,wait,2026-06-15:43076,2026-06-15,none,wait: completes ZAR 43076 by 2026-06-15; total paid ZAR 43076. Projected 90-day minimum ZAR 35211.95 versus protected 26900. Safe today before changes: ZAR 8311.95.
request_157,4352610.76,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,wait: completes IDR 23503000 by 2024-05-15; total paid IDR 23503000. Projected 90-day minimum IDR 16825280.82 versus protected 15714100. Safe today before changes: IDR 4352610.76.
request_158,198112.56,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 198112.56.
request_159,0,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: ZAR 0.
request_160,560.31,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,installments: completes EUR 1246.3 by 2024-08-14; total paid EUR 1296.15. Projected 90-day minimum EUR 1328.26 versus protected 1200. Safe today before changes: EUR 560.31.
